scientific,common,acronym,spcd,pft,PalEON,scientific_name
Abies,fir spp.,ABSP,10,MC,Fir,Abies
Abies balsamea,Balsam fir,ABBA,12,LC,Fir,Abies_balsamea
Abies concolor,white fir,ABCO,15,MC,Fir,Abies_concolor
Abies fraseri,Fraser fir,ABFR,16,MC,Fir,Abies_fraseri
Acer,Maple,ACER,310,LH,Maple,Acer
Acer barbatum,Florida maple,ACBA3,311,LH,Maple,Acer_barbatum
Acer leucoderme,chalk maple,ACLE,323,LH,Maple,Acer_leucoderme
Acer negundo,boxelder,ACNE2,313,LH,Maple,Acer_negundo
Acer nigrum,black maple,ACNI5,314,LH,Maple,Acer_nigrum
Acer pensylvanicum,striped maple,ACPE,315,LH,Maple,Acer_pensylvanicum
Acer platanoides,Norway maple,ACPL,320,LH,Maple,Acer_platanoides
Acer rubrum,red maple  ,ACRU,316,LH,Maple,Acer_rubrum
Acer saccharinum,silver maple,ACSA2,317,LH,Maple,Acer_saccharinum
Acer saccharum,sugar maple  ,ACSA3,318,LH,Maple,Acer_saccharum
Acer spicatum,mountain maple,ACSP2,319,LH,Maple,Acer_spicatum
Aesculus,buckeye,AESCU,330,LH,Buckeye,Aesculus
Aesculus flava,yellow buckeye,AEFL,332,LH,Buckeye,Aesculus_flava
Aesculus glabra,Ohio buckeye,AEGL,331,LH,Buckeye,Aesculus_glabra
Aesculus glabra var arguta,Texas buckeye,AEGLA,334,LH,Buckeye,Aesculus_glabra_var_arguta
Ailanthus altissima,ailanthus,AIAL,341,EH,Other hardwood,Ailanthus_altissima
Albizia julibrissin,mimosa,ALJU,345,EH,Other hardwood,Albizia_julibrissin
Alnus glutinosa,European alder,ALGL2,355,LH,Alder,Alnus_glutinosa
Alnus spp,alder,ALNUS,350,EH,Alder,Alnus_spp
Amelanchier ,serviceberry,AMELA,356,NMH,Other hardwood,Amelanchier
Amelanchier arborea,Downy serviceberry,AMAR3,357,NMH,Other hardwood,Amelanchier_arborea
Asimina triloba,pawpaw,ASTR,367,SMH,Other hardwood,Asimina_triloba
Avicennia germinans,Black-mangrove,AVGE,986,Evergreen,,Avicennia_germinans
Betula  ,Birch,BETUL,370,EH,Birch,Betula__
Betula alleganiensis,yellow birch,BEAL2,371,EH,Birch,Betula_alleganiensis
Betula lenta,sweet birch,BELE,372,EH,Birch,Betula_lenta
Betula nigra,river birch,BENI,373,EH,Birch,Betula_nigra
Betula papyrifera,paper birch  ,BEPA,375,EH,Birch,Betula_papyrifera
Betula populifolia,gray birch  ,BEPO,379,EH,Birch,Betula_populifolia
Bumelia lanuginosa,Gum Bumelia,BUML,,EH,Other hardwood,Bumelia_lanuginosa
Bursera simaruba,gumbo limbo,BUSI,854,EH,Other hardwood,Bursera_simaruba
Carpinus caroliniana,hornbeam,CACA18,391,LH,Ironwood,Carpinus_caroliniana
Carya alba,mockernut hickory,CAAL27,409,SMH,Hickory,Carya_alba
Carya aquatica,water hickory,CAAQ2,401,Hydric,Hickory,Carya_aquatica
Carya carolinae-septentrionalis,southern shagbark hickory,CACA38,413,SMH,Hickory,Carya_carolinae-septentrionalis
Carya cordiformis,bitternut hickory,CACO15,402,NMH,Hickory,Carya_cordiformis
Carya glabra,pignut hickory ,CAGL8,403,SMH,Hickory,Carya_glabra
Carya illinoensis,pecan,CAIL2,404,SMH,Hickory,Carya_illinoensis
Carya laciniosa,shellbark hickory,CALA21,405,SMH,Hickory,Carya_laciniosa
Carya myristiciformis,nutmeg hickory,CAMY,406,SMH,Hickory,Carya_myristiciformis
Carya ovalis,red hickory,CAOV3,412,NMH,Hickory,Carya_ovalis
Carya ovata,shagbark hickory,CAOV2,407,NMH,Hickory,Carya_ovata
Carya pallida,sand hickory,CAPA24,410,SMH,Hickory,Carya_pallida
Carya sp,hickory,CARYA,400,NMH,Hickory,Carya_spp
Carya texana,black hickory,CATE9,408,SMH,Hickory,Carya_texana
Carya tomentosa,hickory,CATO,,SMH,Hickory,Carya_tomentosa
Castanea dentata,American chestnut,CADE12,421,LH,Other hardwood,Castanea_dentata
Castanea mollissima,chinese chestnut,CAMO83,424,SMH,,Castanea_mollissima
Castanea pumila,Chinkapin,CAPU9,422,SMH,,Castanea_pumila
Castanea pumila var ozarkensis,Ozark chinkapin,CAPUO,423,SMH,,Castanea_pumila_var_ozarkensis
Casuarina lepidophloia,belah,CALE28,857,Evergreen,,Casuarina_lepidophloia
Catalpa,catalpa,CATAL,450,EH,Other hardwood,Catalpa
Catalpa bignoniodes,southern catalpa,CABI8,451,EH,Other hardwood,Catalpa_bignoniodes
Catalpa speciosa,northern catalpa,CASP8,452,EH,Other hardwood,Catalpa_speciosa
Celtis,hackberry,CELTI,460,SMH,Hackberry,Celtis
Celtis laevigata,sugarberry,CELA,461,SMH,Hackberry,Celtis_laevigata
Celtis laevigata var reticulata,netleaf hackberry,CELAR,463,NMH,Hackberry,Celtis_laevigata_var_reticulata
Celtis occidentalis,hackberry,CEOC,462,NMH,Hackberry,Celtis_occidentalis
Cercis canadensis,eastern redbud,CECA4,471,SMH,Other hardwood,Cercis_canadensis
Chamaecyparis thyoides,Atlantic white-cedar,CHTH2,43,LC,Cedar/juniper,Chamaecyparis_thyoides
Cinnamomum camphora,camphor tree,CICA,858,Evergreen,,Cinnamomum_camphora
Citrus,Citrus,CITRU2,860,Hydric,Other hardwood,Citrus
Cladrastis kentukea,yellowwood,CLKE,481,NMH,Other hardwood,Cladrastis_kentukea
Conocarpus erectus,buttonwood mangrove,COER2,987,Evergreen,,Conocarpus_erectus
Cornus florida,Flowering dogwood,COFL2,491,LH,Dogwood,Cornus_florida
Cotinus obovatus,smoketree,COOB2,996,SMH,Other hardwood,Cotinus_obovatus
Crataegus,hawthorn,CRATA,500,NMH,Other hardwood,Crataegus
Crataegus crus-galli,cockspur hawthorn,CRCR2,501,NMH,Other hardwood,Crataegus_crus-galli
Crataegus mollis,downy hawthorn,CRMO2,502,NMH,Other hardwood,Crataegus_mollis
Diospyros,persimmon,DIOSP,520,LH,Other hardwood,Diospyros
Diospyros virginiana,common persimmon,DIVI5,521,LH,Other hardwood,Diospyros_virginiana
Elaeagnus angustifolia,Russian-olive,ELAN,997,EH,Other hardwood,Elaeagnus_angustifolia
Eucalyptus,eucalyptus,EUCAL,510,Evergreen,Other hardwood,Eucalyptus
Eucalyptus grandis,grand eucalyptus,EUGR12,513,Evergreen,Other hardwood,Eucalyptus_grandis
Eugenia rhombea,red stopper,EURH,873,Hydric,Other hardwood,Eugenia_rhombea
Fagus grandifolia,beech   ,FAGR,531,LH,Beech,Fagus_grandifolia
Ficus aurea,Florida strangler fig,FIAU,876,EH,Other hardwood,Ficus_aurea
Fraxinus,ash ,FRAXI,540,SMH,Ash,Fraxinus
Fraxinus americana,white ash,FRAM2,541,NMH,Ash,Fraxinus_americana
Fraxinus caroliniana,Carolina ash,FRCA3,548,SMH,Ash,Fraxinus_caroliniana
Fraxinus nigra,black ash,FRNI,543,NMH,Ash,Fraxinus_nigra
Fraxinus pennsylvanica,green ash,FRPE,544,NMH,Ash,Fraxinus_pennsylvanica
Fraxinus profunda,pumpkin ash,FRPR,545,NMH,Ash,Fraxinus_profunda
Fraxinus quadrangulata,blue ash,FRQU,546,SMH,Ash,Fraxinus_quadrangulata
Gleditsia aquatica,waterlocust,GLAQ,551,Hydric,Other hardwood,Gleditsia_aquatica
Gleditsia triacanthos,honeylocust,GLTR,552,EH,Other hardwood,Gleditsia_triacanthos
Gordonia lasianthus,loblolly-bay,GOLA,555,Evergreen,Other hardwood,Gordonia_lasianthus
Gymnocladus dioicus,Kentucky coffeetree,GYDI,571,EH,Other hardwood,Gymnocladus_dioicus
Halesia,silverbell,HALES,580,LH,Other hardwood,Halesia
Halesia carolina,Carolina silverbell,HACA3,581,LH,Other hardwood,Halesia_carolina
Halesia parviflora,two-wing silverbel,HAPA,582,LH,Other hardwood,Halesia_parviflora
Ilex opaca,American holly  ,ILOP,591,Evergreen,Other hardwood,Ilex_opaca
Juglans,walnut ,JUGLA,600,NMH,Walnut,Juglans
Juglans cinerea,butternut   ,JUCI,601,NMH,Walnut,Juglans_cinerea
Juglans nigra,black walnut,JUNI,602,NMH,Walnut,Juglans_nigra
Juniperus,juniper,JUSP,57,LC,Cedar/juniper,Juniperus
Juniperus ashei,Ashe juniper,JUAS,61,LC,Cedar/juniper,Juniperus_ashei
Juniperus scopulorum,Rocky Mountain juniper,JUSC,66,LC,Cedar/juniper,Juniperus_scopulorum
Juniperus virginiana,eastern redcedar,JUVI,68,LC,Cedar/juniper,Juniperus_virginiana
Juniperus virginiana var silicicola,Southern redcedar,JUVIS,67,LC,Cedar/juniper,Juniperus_virginiana_var_silicicola
Laguncularia racemosa,white -mangrove,LARA2,988,Evergreen,Other hardwood,Laguncularia_racemosa
Larix laricina,tamarack,LALA,71,EH,Tamarack,Larix_laricina
Larix spp,Larch spp,LASP,70,EH,Tamarack,Larix_spp
Liquidambar styraciflua,sweetgum,LIST2,611,EH,Sweet gum,Liquidambar_styraciflua
Liriodendron tulipifera,yellow-poplar   ,LITU,621,SMH,Tulip poplar,Liriodendron_tulipifera
Maclura pomifera,Osage-orange,MAPO,641,EH,Other hardwood,Maclura_pomifera
Magnolia,magnolia,MAGNO,650,SMH,Other hardwood,Magnolia
Magnolia acuminata,cucumbertree,MAAC,651,SMH,Other hardwood,Magnolia_acuminata
Magnolia fraseri,mountain magnolia,MAFR,655,SMH,Other hardwood,Magnolia_fraseri
Magnolia grandifolia,southern magnolia ,MAGR4,652,Evergreen,Other hardwood,Magnolia_grandifolia
Magnolia macrophylla,bigleaf magnolia,MAMA2,654,SMH,Other hardwood,Magnolia_macrophylla
Magnolia tripetala,umbrella magnolia,MATR,658,SMH,Other hardwood,Magnolia_tripetala
Magnolia virginiana,sweetbay,MAVI2,653,Evergreen,Other hardwood,Magnolia_virginiana
Malus,apple spp.  ,MALUS,660,NMH,Other hardwood,Malus
Malus angustifolia,southern crabapple,MAAN3,662,SMH,Other hardwood,Malus_angustifolia
Malus coronaria,sweet crabapple,MACO5,663,NMH,Other hardwood,Malus_coronaria
Malus ioensis,prairie crabapple,MAIO,664,NMH,Other hardwood,Malus_ioensis
Melaleuca quinquenervia,melaleuca,MEQU,992,Evergreen,Other hardwood,Melaleuca_quinquenervia
Melia azedarach, Chinaberrytree,MEAZ,993,EH,Other hardwood,Melia_azedarach
Metopium toxiferum,Florida poisontree,METO3,886,Hydric,Other hardwood,Metopium_toxiferum
Morus,mulberry,MORUS,680,SMH,Other hardwood,Morus
Morus alba,white mulberry,MOAL,681,NMH,Other hardwood,Morus_alba
Morus rubra,red mulberry  ,MORU2,682,NMH,Other hardwood,Morus_rubra
NULL,"palm, other",PALM,915,Hydric,,NULL
Nyssa aquatica,water tupelo,NYAQ2,691,Hydric,Black gum,Nyssa_aquatica
Nyssa biflora,swamp tupelo,NYBI,694,Hydric,Black gum,Nyssa_biflora
Nyssa ogeche,Ogechee tupelo,NYOG,692,Hydric,Black gum,Nyssa_ogeche
Nyssa sylvatica,blackgum   ,NYSY,693,SMH,Black gum,Nyssa_sylvatica
Ostrya virginiana,eastern hophornbeam  ,OSVI,701,NMH,Ironwood,Ostrya_virginiana
Oxydendrum arboreum,sourwood,OXAR,711,LH,Other hardwood,Oxydendrum_arboreum
Paulownia tomentosa,paulownia,PATO2,712,EH,Other hardwood,Paulownia_tomentosa
Persea borbonia,redbay,PEBO,721,Evergreen,Other hardwood,Persea_borbonia
Picea  ,spruce   ,PISP,90,MC,Spruce,Picea
Picea abies,Norway Spruce,PIAB,91,MC,Spruce,Picea_abies
Picea glauca,white spruce  ,PIGL,94,MC,Spruce,Picea_glauca
Picea mariana,black spruce  ,PIMA,95,MC,Spruce,Picea_mariana
Picea pungens,Blue spruce,PIPU,96,MC,Spruce,Picea_pungens
Picea rubens,red spruce,PIRU,97,MC,Spruce,Picea_rubens
Pinus banksiana,jack pine  ,PIBA2,105,NP,Pine,Pinus_banksiana
Pinus clausa,Sand pine,PICL,107,SP,Pine,Pinus_clausa
Pinus echinata,shortleaf pine,PIEC2,110,SP,Pine,Pinus_echinata
Pinus elliottii,slash pine  ,PIEL,111,SP,Pine,Pinus_elliottii
Pinus glabra,spruce pine,PIGL2,115,SP,Pine,Pinus_glabra
Pinus nigra,Austrian pine,PINI,136,NP,Pine,Pinus_nigra
Pinus palustris,longleaf pine  ,PIPA2,121,SP,Pine,Pinus_palustris
Pinus ponderosa,Ponderosa pine,PIPO,122,NP,Pine,Pinus_ponderosa
Pinus pungens,Table Mountain pine ,PIPU5,123,SP,Pine,Pinus_pungens
Pinus resinosa,red pine  ,PIRE,125,NP,Pine,Pinus_resinosa
Pinus rigida,pitch pine,PIRI,126,NP,Pine,Pinus_rigida
Pinus serotina,pond pine,PISE,128,SP,Pine,Pinus_serotina
Pinus strobus,white pine  ,PIST,129,NP,Pine,Pinus_strobus
Pinus sylvestris,Scotch pine,PISY,130,NP,Pine,Pinus_sylvestris
Pinus taeda,loblolly pine  ,PITA,131,SP,Pine,Pinus_taeda
Pinus virginiana,Virginia pine,PIVI2,132,SP,Pine,Pinus_virginiana
Planera aquatica,water elm,PLAQ,722,Hydric,Other hardwood,Planera_aquatica
Platanus occidentalis,American sycamore,PLOC,731,LH,Sycamore,Platanus_occidentalis
Populus alba,silver poplar,POAL7,752,EH,Poplar,Populus_alba
Populus balsamifera,balsam poplar,POBA2,741,EH,Poplar,Populus_balsamifera
Populus deltoides,eastern cottonwood  ,PODE3,742,EH,Poplar,Populus_deltoides
Populus deltoides sub monilifera,plains cottonwood,PODEM,745,EH,Poplar,Populus_deltoides_sub_monilifera
Populus grandidentata,bigtooth aspen  ,POGR4,743,EH,Poplar,Populus_grandidentata
Populus heterophylla,swamp cottonwood,POHE4,744,Hydric,Poplar,Populus_heterophylla
Populus nigra,Lombardy poplar,,753,EH,Poplar,Populus_nigra
Populus spp,poplar,POPUL,740,EH,Poplar,Populus_spp
Populus tremuloides,quaking aspen  ,POTR5,746,EH,Poplar,Populus_tremuloides
Prosopis pubescens,screwbean mesquite,PRPU,758,EH,Other hardwood,Prosopis_pubescens
Prunus,cherry,PRUNU,760,EH,Cherry,Prunus
Prunus americana,American plum,PRAM,766,EH,Cherry,Prunus_americana
Prunus aviumPRAV,sweet cherry,,771,EH,Cherry,Prunus_aviumPRAV
Prunus cerasus,,,772,EH,Cherry,Prunus_cerasus
Prunus nigra,Canada plum,PRNI,765,EH,Cherry,Prunus_nigra
Prunus pennsylvanica,pin cherry  ,PRPE2,761,EH,Cherry,Prunus_pennsylvanica
Prunus serotina,black cherry  ,PRSE2,762,EH,Cherry,Prunus_serotina
Prunus virginiana,chokecherry   ,PRVI,763,EH,Cherry,Prunus_virginiana
Pseudotsuga menziesii,Douglas-fir,PSME,202,MC,Douglas fir,Pseudotsuga_menziesii
Quercus ,oak spp. -- Deciduous,QUERC,797,SMH,Oak,Quercus
Quercus ,oak spp. -- Deciduous,QUERC,798,SMH,Oak,Quercus
Quercus ,oak spp. -- Deciduous,QUERC,799,SMH,Oak,Quercus
Quercus ,oak spp. -- Deciduous,QUERC,800,SMH,Oak,Quercus
Quercus alba,white oak  ,QUAL,802,NMH,Oak,Quercus_alba
Quercus bicolor,swamp white oak ,QUBI,804,NMH,Oak,Quercus_bicolor
Quercus buckleyi,Buckley oak,QUBU2,828,SMH,Oak,Quercus_buckleyi
Quercus coccinea,scarlet oak  ,QUCO2,806,SMH,Oak,Quercus_coccinea
Quercus dusomething,oak spp. -- Deciduous,QUERC,800,SMH,Oak,Quercus_dusomething
Quercus ellipsoidalis,northern pin oak ,QUEL,809,NMH,Oak,Quercus_ellipsoidalis
Quercus falcata,southern red oak,QUFA,812,SMH,Oak,Quercus_falcata
Quercus ilicifolia,scrub oak,QUIL,816,NMH,Oak,Quercus_ilicifolia
Quercus imbricaria,shingle oak,QUIM,817,SMH,Oak,Quercus_imbricaria
Quercus incana,bluejack oak,QUIN,842,SMH,Oak,Quercus_incana
Quercus laevis,turkey oak,QULA2,819,SMH,Oak,Quercus_laevis
Quercus laurifolia,laurel oak,QULA3,820,SMH,Oak,Quercus_laurifolia
Quercus lyrata,overcup oak,QULY,822,Hydric,Oak,Quercus_lyrata
Quercus macrocarpa,bur oak  ,QUMA2,823,NMH,Oak,Quercus_macrocarpa
Quercus margarettiae,runner oak,QUMA6,840,SMH,Oak,Quercus_margarettiae
Quercus margarettiae,dwarf live oak,QUMI2,841,Evergreen,Oak,Quercus_margarettiae
Quercus marilandica,blackjack oak,QUMA3,824,SMH,Oak,Quercus_marilandica
Quercus michauxii,swamp chestnut oak,QUMI,825,SMH,Oak,Quercus_michauxii
Quercus muehlenbergii,chinkapin oak,QUMU,826,SMH,Oak,Quercus_muehlenbergii
Quercus nigra,water oak ,QUNI,827,SMH,Oak,Quercus_nigra
Quercus nuttalli,oak spp. -- Deciduous,QUERC,800,SMH,Oak,Quercus_nuttalli
Quercus oglethorpensis,Oglethorpe oak,QUOG,844,SMH,Oak,Quercus_oglethorpensis
Quercus pagoda,cherrybark oak ,QUPA5,813,SMH,Oak,Quercus_pagoda
Quercus palustris,pin oak,QUPA2,830,NMH,Oak,Quercus_palustris
Quercus phellos,willow oak ,QUPH,831,SMH,Oak,Quercus_phellos
Quercus prinoides,swarf chinakapin oak,QUPR,845,NMH,Oak,Quercus_prinoides
Quercus prinus,chestnut oak  ,QUPR2,832,SMH,Oak,Quercus_prinus
Quercus rubra,northern red oak ,QURU,833,NMH,Oak,Quercus_rubra
Quercus shumardii,Shumard's oak,QUSH,834,SMH,Oak,Quercus_shumardii
Quercus similis,Delta post oak,QUSI2,836,SMH,Oak,Quercus_similis
Quercus sinuata var sinuata,Durand oak,QUSIS,808,SMH,Oak,Quercus_sinuata_var_sinuata
Quercus stellata,post oak,QUST,835,SMH,Oak,Quercus_stellata
Quercus velutina,black oak  ,QUVE,837,NMH,Oak,Quercus_velutina
Quercus virginiana,live oak,QUVI,838,Evergreen,Oak,Quercus_virginiana
Rhizophora mangle,American mangrove,RHMA2,989,Evergreen,Other hardwood,Rhizophora_mangle
Robinia pseudoacacia,black locust  ,ROPS,901,EH,Other hardwood,Robinia_pseudoacacia
Sabal palmetto,cabbage palmetto,SAPA,912,Hydric,Other hardwood,Sabal_palmetto
Salix,willow   ,SALIX,920,EH,Willow,Salix
Salix alba,white willow,SAAL2,927,EH,Willow,Salix_alba
Salix amygdaloides,peachleaf willow,SAAM2,921,Hydric,Willow,Salix_amygdaloides
Salix bebbiana,Bebb willow,SABE2,923,EH,Willow,Salix_bebbiana
Salix caroliniana,costal plain willow,SACA5,925,EH,Willow,Salix_caroliniana
Salix nigra,black willow  ,SANI,922,EH,Willow,Salix_nigra
Salix sepulcralis,weeping willow,SASE10,929,EH,Willow,Salix_sepulcralis
Sapindus saponaria var drummondii,western soapberry,SASAD,919,LH,Other hardwood,Sapindus_saponaria_var_drummondii
Sassafras albidum,sassafras   ,SAAL5,931,NMH,Other hardwood,Sassafras_albidum
Sideroxylon lanuginosum ssp. lanuginosum,gum bully,SILAL3,381,EH,Other hardwood,Sideroxylon_lanuginosum_ssp_lanuginosum
Sorbus spp,mountain-ash spp,SORBU,934,NMH,Other hardwood,Sorbus_spp
Sorbus americana,American mountain-ash  ,SOAM3,935,NMH,Other hardwood,Sorbus_americana
Sorbus aucuparia,European mountain-ash,SOAU,936,NMH,Other hardwood,Sorbus_aucuparia
Taxodium ascendens,pondcypress,TAAS,222,Hydric,Cedar/juniper,Taxodium_ascendens
Taxodium distichum,baldcypress,TADI2,221,Hydric,Cedar/juniper,Taxodium_distichum
Thrinax morrisii,key thatch palm,THMO4,913,Hydric,,Thrinax_morrisii
Thuja occidentalis,northern white-cedar,THOC2,241,LC,Cedar/juniper,Thuja_occidentalis
Tilia americana,american basswood  ,TIAM,951,LH,Basswood,Tilia_americana
Tilia americana var caroliniana,Carolina basswood,TIAMC,953,LH,Basswood,Tilia_americana_var_caroliniana
Tilia americana var. heterophylla,American basswood,TIAMH,952,LH,Basswood,Tilia_americana_var_heterophylla
Tilia spp,basswood spp,TILIA,950,LH,Basswood,Tilia_spp
Triadica sebifera,Chinese tallowtree,TRSE6,994,SMH,Other hardwood,Triadica_sebifera
Tsuga  ,hemlock   ,TSUGA,260,LC,Hemlock,Tsuga__
Tsuga canadensis,eastern hemlock  ,TSCA,261,LC,Hemlock,Tsuga_canadensis
Tsuga caroliniana,Carolina hemlock,TSCA2,262,LC,Hemlock,Tsuga_caroliniana
Ulmus,elm,ULMUS,970,NMH,Elm,Ulmus
Ulmus alata,winged elm,ULAL,971,SMH,Elm,Ulmus_alata
Ulmus americana,American elm  ,ULAM,972,NMH,Elm,Ulmus_americana
Ulmus crassifolia,cedar elm,ULCR,973,SMH,Elm,Ulmus_crassifolia
Ulmus pumila,Siberian elm,ULPU,974,NMH,Elm,Ulmus_pumila
Ulmus rubra,slippery elm  ,ULRU,975,NMH,Elm,Ulmus_rubra
Ulmus serotina,September elm,ULSE,976,SMH,Elm,Ulmus_serotina
Ulmus sp.,elm,ULMUS,970,NMH,Elm,Ulmus_spp
Ulmus thomasii,rock elm,ULTH,977,NMH,Elm,Ulmus_thomasii
Umbellularia californica,California laurel,UMCA,981,Evergreen,Other hardwood,Umbellularia_californica
Tree unknown,Other or unknown live tree,UNK,999,NMH,Unknown tree,Tree_unknown
Vernicia fordii,tung-oil-tree,VEFO,995,EH,Other hardwood,Vernicia_fordii
Ginkgo biloba,Ginkgo,GIBI2,561,UNK,Other softwood,Ginkgo_biloba
